directory,file_name,variable_name,variable_type,description
data,biogasoutcomesmalawi.rda,interview_id,character,The site id where the interview was performed.
data,biogasoutcomesmalawi.rda,interview_date,date,The date on which the interview was performed.
data,biogasoutcomesmalawi.rda,question_id,integer,The number of the question within each interview. Note: Number of questions differ between interviews.
data,biogasoutcomesmalawi.rda,interviewer,character,The question asked by the interviewer.
data,biogasoutcomesmalawi.rda,interviewee,character,The answer given by the interviewee.
